stage1_candidate_id,master_seed,S,min_on_time_prob,binding_batch,binding_batch_set,chance_vio_total,chance_constraint_pass,max_late_excess_h,maxlate_screen_pass,miss_alloc,miss_tt,cap_excess,border_cap_excess,nonccp_hard_pass,feasible_hard,obj_cost,obj_emission_gCO2,obj_time_h,penalty,binding_batches
S1-01,700001,50,0.84,12,12,0.06000000000000005,False,0.0,True,0.0,0.0,0.0,0.0,True,False,7374778.10019665,7155341549.26,473.30781630562626,60000000.00000005,12
S1-02,700001,50,0.96,2,"2,16,17",0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6392841.093139559,7088706227.360001,408.351484551918,0.0,2|16|17
S1-03,700001,50,0.96,2,"2,16",0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6729156.626748809,7887089349.070001,387.0825122573405,0.0,2|16
S1-04,700001,50,0.96,16,16,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6883734.241374685,8345740271.040001,382.37518707325376,0.0,16
S1-05,700001,50,0.96,2,"2,16",0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6839329.5712636225,8013513563.38,352.7206012423515,0.0,2|16
S1-06,700001,50,0.96,2,"2,16",0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6740257.1365647,8096246576.780001,352.7206012423515,0.0,2|16
S1-07,700001,50,0.94,8,8,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6973925.049559763,8219219881.48,415.7054311971949,0.0,8
S1-08,700001,50,0.96,2,"2,16",0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7115548.936184717,9044968863.32,386.98204450226046,0.0,2|16
S1-09,700001,50,0.96,2,"2,8,11,16",0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7102838.758232168,8344498311.79,386.98204450226046,0.0,2|8|11|16
S1-10,700001,50,0.96,16,16,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6744999.29106849,8134627364.78,352.7206012423515,0.0,16
S1-01,700001,100,0.9,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7367106.665160805,7155341549.26,473.1583689652715,0.0,2
S1-02,700001,100,0.9,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6635139.168708834,7088706227.360001,435.6142580767759,0.0,2
S1-03,700001,100,0.9,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6837803.771258708,7887089349.070001,392.29794394339865,0.0,2
S1-04,700001,100,0.94,16,16,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6889132.460995082,8345740271.040001,386.92781288557677,0.0,16
S1-05,700001,100,0.9,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6847949.566384919,8013513563.38,392.245772952923,0.0,2
S1-06,700001,100,0.9,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6747251.34525712,8096246576.780001,392.245772952923,0.0,2
S1-07,700001,100,0.93,2,"2,8",0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7067134.791378412,8219219881.48,466.12214494598305,0.0,2|8
S1-08,700001,100,0.93,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7116282.269096717,9044968863.32,388.3612585861374,0.0,2
S1-09,700001,100,0.93,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7104537.693589504,8344498311.79,407.967082450005,0.0,2
