stage1_candidate_id,master_seed,S,min_on_time_prob,binding_batch,binding_batch_set,chance_vio_total,chance_constraint_pass,max_late_excess_h,maxlate_screen_pass,miss_alloc,miss_tt,cap_excess,border_cap_excess,nonccp_hard_pass,feasible_hard,obj_cost,obj_emission_gCO2,obj_time_h,penalty,binding_batches
S1-01,700001,50,0.84,12,12,0.06000000000000005,False,0.0,True,0.0,0.0,0.0,0.0,True,False,7374778.10019665,7155341549.26,473.30781630562626,60000000.00000005,12
S1-02,700001,50,0.96,2,"2,16,17",0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6392841.093139559,7088706227.360001,408.351484551918,0.0,2|16|17
S1-03,700001,50,0.96,2,"2,16",0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6729156.626748809,7887089349.070001,387.0825122573405,0.0,2|16
S1-04,700001,50,0.96,16,16,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6883734.241374685,8345740271.040001,382.37518707325376,0.0,16
S1-05,700001,50,0.96,2,"2,16",0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6839329.5712636225,8013513563.38,352.7206012423515,0.0,2|16
S1-01,700001,100,0.9,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7367106.665160805,7155341549.26,473.1583689652715,0.0,2
S1-02,700001,100,0.9,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6635139.168708834,7088706227.360001,435.6142580767759,0.0,2
S1-03,700001,100,0.9,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6837803.771258708,7887089349.070001,392.29794394339865,0.0,2
S1-04,700001,100,0.94,16,16,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6889132.460995082,8345740271.040001,386.92781288557677,0.0,16
S1-05,700001,100,0.9,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6847949.566384919,8013513563.38,392.245772952923,0.0,2
S1-01,700001,200,0.915,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7086144.072303417,7155341549.26,432.1360701322061,0.0,2
S1-02,700001,200,0.915,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6644648.157170096,7088706227.360001,457.18780417166306,0.0,2
S1-03,700001,200,0.915,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6812080.529898826,7887089349.070001,392.29794394339865,0.0,2
S1-04,700001,200,0.955,17,17,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6889135.969397937,8345740271.040001,387.0190181710899,0.0,17
S1-05,700001,200,0.915,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6846599.80378644,8013513563.38,390.80017459464545,0.0,2
