batch_id,origin,destination,quantity,ET,LT,penalty_per_teu_h
1,Xi'an,Berlin,120,0,360,100
2,Xi'an,Duisburg,110,0,372,92.22222222222223
3,Chongqing,Duisburg,100,0,384,84.44444444444444
4,Chongqing,Hamburg,95,0,396,76.66666666666666
5,Chengdu,Lodz,130,0,408,68.88888888888889
6,Zhengzhou,Hamburg,115,0,420,61.11111111111111
7,Wuhan,Warsaw,105,0,432,53.33333333333333
8,Yiwu,Rotterdam,90,0,444,45.55555555555556
9,Suzhou,Prague,125,0,456,37.77777777777778
10,Hefei,Budapest,140,0,468,30
11,Guangzhou,Lodz,91,0,429,62.71
12,Xi'an,Berlin,122,0,398,85.34
13,Xiangyang,Bratislava,126,0,379,75.69
14,Xi'an,Warsaw,98,0,465,94.39
15,Wuhan,Rotterdam,120,0,442,66.06
16,Nanjing,Budapest,123,0,408,53.72
17,Chengdu,Warsaw,97,0,384,66.81
18,Xi'an,Hamburg,103,0,432,30.9
19,Suzhou,Hamburg,140,0,399,43.68
20,Suzhou,Duisburg,106,0,407,51
