BatchID,OriginEN,DestEN,QuantityTEU,ET,LT,PenaltyCost_per_TEU_h
1,Xi'an,Berlin,120.0,0.0,360.0,100.0
2,Xi'an,Duisburg,110.0,0.0,372.0,92.22222222222223
3,Chongqing,Duisburg,100.0,0.0,384.0,84.44444444444444
4,Chongqing,Hamburg,95.0,0.0,396.0,76.66666666666666
5,Chengdu,Lodz,130.0,0.0,408.0,68.88888888888889
6,Zhengzhou,Hamburg,115.0,0.0,420.0,61.11111111111111
7,Wuhan,Warsaw,105.0,0.0,432.0,53.33333333333333
8,Yiwu,Rotterdam,90.0,0.0,444.0,45.55555555555556
9,Suzhou,Prague,125.0,0.0,456.0,37.77777777777778
10,Hefei,Budapest,140.0,0.0,468.0,30.0
11,Guangzhou,Lodz,91.0,0.0,429.0,62.71
12,Xi'an,Berlin,122.0,0.0,398.0,85.34
13,Xiangyang,Bratislava,126.0,0.0,379.0,75.69
14,Xi'an,Warsaw,98.0,0.0,465.0,94.39
15,Wuhan,Rotterdam,120.0,0.0,442.0,66.06
16,Nanjing,Budapest,123.0,0.0,408.0,53.72
17,Chengdu,Warsaw,97.0,0.0,384.0,66.81
18,Xi'an,Hamburg,103.0,0.0,432.0,30.9
19,Suzhou,Hamburg,140.0,0.0,399.0,43.68
20,Suzhou,Duisburg,106.0,0.0,407.0,51.0
