seed,S,objective,solution_count,js_distance_mean,js_distance_median,js_distance_p25,js_distance_p75,js_distance_p90,js_distance_max,wasserstein_normalized_mean,wasserstein_normalized_median,wasserstein_normalized_p25,wasserstein_normalized_p75,wasserstein_normalized_p90,wasserstein_normalized_max,ks_statistic_mean,ks_statistic_median,ks_statistic_p25,ks_statistic_p75,ks_statistic_p90,ks_statistic_max,kl_sample_to_oos_mean,kl_sample_to_oos_median,kl_sample_to_oos_p25,kl_sample_to_oos_p75,kl_sample_to_oos_p90,kl_sample_to_oos_max,kl_oos_to_sample_mean,kl_oos_to_sample_median,kl_oos_to_sample_p25,kl_oos_to_sample_p75,kl_oos_to_sample_p90,kl_oos_to_sample_max,symmetric_kl_mean,symmetric_kl_median,symmetric_kl_p25,symmetric_kl_p75,symmetric_kl_p90,symmetric_kl_max,absolute_coverage_gap_pp_mean,absolute_coverage_gap_pp_median,absolute_coverage_gap_pp_p25,absolute_coverage_gap_pp_p75,absolute_coverage_gap_pp_p90,absolute_coverage_gap_pp_max,coverage_mean,coverage_median,coverage_p25,coverage_p75,coverage_p90,coverage_max
940001,30,cost,263,0.24614697481361197,0.24469974434630223,0.2328126859148678,0.261428685569417,0.2686149027849871,0.29360459661288785,0.16759428375810878,0.16406969913630848,0.1521703518353021,0.18909139534594094,0.19479275449929787,0.20259635899497888,0.158212927756654,0.1600666666666667,0.1451,0.172,0.18624,0.21073333333333336,0.3259923594735708,0.33092549239445923,0.28899600894703203,0.35507146921604626,0.37298280329280203,0.43240410605097734,0.24038390713325847,0.23495557336899808,0.20517899477206558,0.27640697817022025,0.3124182650301857,0.3865320230013403,0.2831881333034147,0.280808265524808,0.24902975405736133,0.3193516355090521,0.3379811945774596,0.3997681506613423,7.227224334600763,6.979999999999997,3.400000000000003,10.89,12.172000000000002,15.080000000000005,0.8376593155893536,0.8302,0.7911,0.8774,0.9274,0.9474
940001,30,emission,263,0.25860448583547724,0.2580697880227874,0.23817351987984037,0.27619091126679673,0.29472979439123215,0.3291091675102578,0.24409698493236315,0.24244595958918,0.2196045734627194,0.2639210463203743,0.27845112695901364,0.2987926368116011,0.22070519645120407,0.22053333333333336,0.20786666666666667,0.23303333333333334,0.24996000000000002,0.27380000000000004,0.31393645089192873,0.31296772081214425,0.27316994226581204,0.3533731318485098,0.3936331349557183,0.4893397028117016,0.28448084053473366,0.28379083169201624,0.23269490657629271,0.33040046031394843,0.37021775624065495,0.4767992621573958,0.2992086457133311,0.2951454298423477,0.24964282495595774,0.33975813139314887,0.38323182165493297,0.47694544637986935,0.7555893536121666,0.7199999999999984,0.30000000000000027,1.1599999999999944,1.5000000000000013,2.179999999999993,0.9034722433460076,0.9038,0.8978,0.9105,0.91452,0.9218
940001,30,makespan,263,0.22012050172028283,0.21824090278742156,0.20587508771330654,0.23490575682649997,0.24701641905269653,0.2778454292057481,0.12197412791239283,0.1200683392631234,0.10699597772484117,0.1335886690061539,0.1497388004136273,0.2040603100829082,0.10929277566539924,0.10399999999999998,0.09113333333333329,0.124,0.13358666666666671,0.21266666666666673,0.28558823744431927,0.27461716233812916,0.24324121997569892,0.3281938458810426,0.34974529772380736,0.4359936236976816,0.18104544504319475,0.17268263212088455,0.15611735837891952,0.20318853604970766,0.23088755600911334,0.31858788500012863,0.23331684124375704,0.22876761122346156,0.20004130072695003,0.2677862491008332,0.29167606779445127,0.37281998773489466,4.944182509505703,4.320000000000002,3.4800000000000053,5.559999999999999,9.748000000000003,12.080000000000002,0.8797338403041826,0.8656,0.8446,0.9395,0.9448,0.9556
940001,100,cost,263,0.16168541698927547,0.1605648994083848,0.15275401989030354,0.17151903259239412,0.1794802663842674,0.20668748228949038,0.09412376565207099,0.09261343461925667,0.08683133741364786,0.10011279593179451,0.10761311446317877,0.12772287415481612,0.08056806083650189,0.0806,0.07050000000000001,0.09060000000000001,0.09799999999999998,0.11399999999999999,0.12850469748691995,0.12609794119361228,0.1188737045405645,0.13867006974229873,0.15040013130940263,0.18365891782714164,0.1021008786590399,0.09710087540541247,0.08606525198534655,0.11692689462894817,0.13319844860892607,0.17850652452198654,0.11530278807297992,0.11286804427871089,0.10331768014010753,0.12863095627673182,0.13922578325246923,0.1810827211745641,3.1581749049429675,2.660000000000007,1.6100000000000003,4.490000000000005,6.048000000000001,11.020000000000007,0.8750768060836501,0.8756,0.8551,0.8905,0.9165599999999999,0.9298
940001,100,emission,263,0.16384276633476827,0.16359815756415147,0.15490538080648886,0.1733085148589466,0.1823378554368207,0.20939482408487917,0.10622575285407387,0.10621307080848807,0.099758118404114,0.11321932563910286,0.11752294027447396,0.12402037269447538,0.08547300380228137,0.08560000000000001,0.07719999999999994,0.09190000000000001,0.09672,0.126,0.11611197798916985,0.11634302061290978,0.1035588386994453,0.12890117872212317,0.1409413987355398,0.17442736336356607,0.10995205983663829,0.10890975941905529,0.09530915130166887,0.12247131435351992,0.13917267803216862,0.1965057751096187,0.11303201891290407,0.11162455042517093,0.10008520832512444,0.12524561854053584,0.13991984012957148,0.1844301573260287,1.7368821292775642,1.759999999999995,1.3599999999999945,2.179999999999993,2.4559999999999964,3.3200000000000007,0.9173079847908746,0.9176,0.9136,0.9218,0.9245599999999999,0.9332
940001,100,makespan,263,0.14669465535796072,0.14458279881168812,0.136783191970695,0.15580417970638707,0.16445429323921684,0.18584159502868489,0.07809376522511705,0.07266835407328281,0.06512243362158585,0.08994264827616996,0.1097170083036836,0.123936900119077,0.07223574144486691,0.07060000000000005,0.059899999999999995,0.08230000000000001,0.09844000000000003,0.11780000000000002,0.10688187310235278,0.1037815887522677,0.08987706383420124,0.11969372715722049,0.1341581176262018,0.18093491759830369,0.08204324548705368,0.07837136044665745,0.07121266212277907,0.09224698003462983,0.10294160328900431,0.12771989834093028,0.09446255929470321,0.0906270054691439,0.08113384797903248,0.10639451769201236,0.12070278601792463,0.15432740796961697,2.603193916349811,2.739999999999998,1.26,3.4399999999999986,4.880000000000006,5.680000000000007,0.8838692015209126,0.873,0.8667,0.9036,0.9186,0.948
940001,300,cost,263,0.09510599557862148,0.0931407297583713,0.08750288848676462,0.10198668779613662,0.1104975299085947,0.13233159760082747,0.054605522815032635,0.05535305200186707,0.051774163411378256,0.058549631966584824,0.06095874075841467,0.06674593949867573,0.03884207858048162,0.037800000000000056,0.03449999999999999,0.042833333333333334,0.04697333333333329,0.05453333333333332,0.04284040565792177,0.040898245613469046,0.0355524396577037,0.04868313787083838,0.057959535967223856,0.0795485316007385,0.035065604364409496,0.032816654001755395,0.028516843629477887,0.03974632823030398,0.04730469018716793,0.07652000429960905,0.03895300501116564,0.037125687161543415,0.03223190316043751,0.04395809089900301,0.05272785382791582,0.07803426795017378,1.0144486692015213,0.8199999999999985,0.4400000000000015,1.31,2.231999999999999,3.060000000000007,0.8998220532319391,0.8976,0.892,0.9088,0.91828,0.9298
940001,300,emission,263,0.0921364728371816,0.09155696304826401,0.08698430283661787,0.09691608298786099,0.10188072252052671,0.11698325788282957,0.08628837250163597,0.08698773501733145,0.08312518777845554,0.09039614266397952,0.09227392736627459,0.09656288429243927,0.07377287705956907,0.07346666666666668,0.0661,0.0804666666666667,0.08678666666666665,0.09873333333333334,0.03644140723662099,0.036070902890507045,0.03247891887818475,0.039628951701519546,0.044236651712014526,0.05476670392233169,0.03372098039017703,0.032852914400934435,0.02934546222048435,0.03756898954341459,0.041282423895419605,0.062383418088433035,0.035081193813399004,0.03445218358725078,0.03109475157257577,0.03867862818629682,0.042391384696592586,0.05545135086270943,0.8758935361216754,0.9000000000000008,0.48000000000000265,1.2600000000000056,1.4399999999999968,1.9000000000000017,0.8913414448669201,0.891,0.8874,0.8952,0.8978,0.906
940001,300,makespan,263,0.08059399141248472,0.08104254264731177,0.07491463800749704,0.08833460809621071,0.0933323525395821,0.10411165767191262,0.04625010215193419,0.04641055457832124,0.03623599511785035,0.05735120683059053,0.06102913687974783,0.07815396131259936,0.042798479087452476,0.04000000000000001,0.03403333333333336,0.05160000000000001,0.05820000000000003,0.06626666666666664,0.03182736869175938,0.03213161078259291,0.02657737914909416,0.037219709364923234,0.043216975676933285,0.05506869595978051,0.024726550931594708,0.023825970604138057,0.020831193047433843,0.028761138644931475,0.033825210354403945,0.04036063098766192,0.02827695981167704,0.028219520382837378,0.023773889348565093,0.03320541579978581,0.038040566332700435,0.047230754431459916,0.8318631178707221,0.7399999999999962,0.49000000000000155,1.1199999999999988,1.639999999999997,2.2399999999999975,0.9036433460076047,0.9058,0.8968,0.9088,0.9164,0.9224
940002,30,cost,263,0.21998324631753052,0.2140535046654219,0.20167329493156633,0.23374373965082804,0.2609478709821566,0.289736086788813,0.22043905715855247,0.21806359046377488,0.2026088154788908,0.23755523171548648,0.25977266042039876,0.2922740377518577,0.20985044359949306,0.21680000000000005,0.18386666666666665,0.2308,0.24494666666666667,0.2754666666666667,0.2566428662888199,0.24632458361829537,0.2260354974590797,0.2840470782807508,0.3327797137185204,0.4056629261542587,0.19220060950096332,0.17485693731453308,0.1493223023545974,0.21521607760013922,0.28658957686932374,0.36246230080488095,0.22442173789489162,0.21165117804515288,0.18653279200042544,0.24638179619503595,0.3081007746381547,0.3840626134795698,1.731482889733841,1.0399999999999965,0.47000000000000375,2.2500000000000018,5.055999999999998,6.900000000000006,0.8881984790874525,0.8946,0.8781,0.9036,0.9104,0.923
