role,seed,S,objective,solution_count,mean_coverage,median_coverage,p05_coverage,p95_coverage,min_coverage,max_coverage,mean_abs_gap_pp,mean_signed_error_pct,below_90_count,above_90_count,equal_90_count
original_training,920001,30,cost,263,0.8074570342205323,0.8112,0.7708999999999999,0.83038,0.7532,0.8646,9.25429657794677,-1.087340456314874,263,0,0
original_training,920001,30,emission,263,0.841961216730038,0.8418,0.80526,0.8689399999999999,0.791,0.8856,5.8038783269962,-0.0348169792082316,263,0,0
original_training,920001,30,makespan,263,0.8474235741444867,0.8332,0.81442,0.9177799999999999,0.7556,0.9452,5.840608365019012,-3.1281213348212473,221,42,0
independent_reestimate,940001,30,cost,263,0.8376593155893536,0.8302,0.77286,0.934,0.7492,0.9474,7.227224334600761,-0.6899103789107712,220,43,0
independent_reestimate,940001,30,emission,263,0.9034722433460076,0.9038,0.88922,0.9157799999999999,0.881,0.9218,0.7555893536121666,0.002655394638530736,93,168,2
independent_reestimate,940001,30,makespan,263,0.8797338403041826,0.8656,0.79604,0.94834,0.7792,0.9556,4.944182509505704,-1.7057874453320392,156,107,0
independent_reestimate,940001,100,cost,263,0.8750768060836501,0.8756,0.8312,0.92612,0.7898,0.9298,3.1581749049429675,-0.2945798477078055,213,49,1
independent_reestimate,940001,100,emission,263,0.9173079847908746,0.9176,0.90602,0.9262,0.8954,0.9332,1.7368821292775642,0.012580764966293246,3,260,0
independent_reestimate,940001,100,makespan,263,0.8838692015209126,0.873,0.851,0.931,0.8432,0.948,2.6031939163498103,-1.198655038712154,182,81,0
independent_reestimate,940001,300,cost,263,0.8998220532319391,0.8976,0.88022,0.92468,0.8694,0.9298,1.0144486692015215,0.020255218772327818,147,114,2
independent_reestimate,940001,300,emission,263,0.8913414448669201,0.891,0.8836200000000001,0.89878,0.881,0.906,0.8758935361216755,-0.005898077866192179,255,7,1
independent_reestimate,940001,300,makespan,263,0.9036433460076047,0.9058,0.8879,0.91794,0.8842,0.9224,0.8318631178707221,-0.05526797352919272,81,181,1
independent_reestimate,940002,30,cost,263,0.8881984790874525,0.8946,0.8412999999999999,0.91398,0.831,0.923,1.731482889733841,-0.14227822223519268,167,96,0
independent_reestimate,940002,30,emission,263,0.868748288973384,0.8714,0.832,0.8926,0.819,0.9018,3.1265399239543754,-0.019513298716289297,262,1,0
independent_reestimate,940002,30,makespan,263,0.8736798479087452,0.8616,0.84286,0.9174,0.8238,0.923,3.2993916349809895,-1.0954605069880203,193,70,0
independent_reestimate,940002,100,cost,263,0.9202091254752852,0.922,0.8999,0.9347799999999999,0.8844,0.9396,2.083726235741443,0.3629013004827959,14,249,0
independent_reestimate,940002,100,emission,263,0.8866958174904943,0.887,0.8756,0.89738,0.8672,0.9042,1.338935361216732,-0.00906444384025094,258,5,0
independent_reestimate,940002,100,makespan,263,0.8959110266159696,0.8868,0.8586,0.939,0.8472,0.9462,2.10532319391635,0.08054353787806842,181,82,0
independent_reestimate,940002,300,cost,263,0.8867581749049429,0.8864,0.87442,0.8986,0.8708,0.9042,1.3322433460076066,-0.18336898866429713,258,5,0
independent_reestimate,940002,300,emission,263,0.8866821292775666,0.8866,0.87822,0.8954,0.8744,0.8994,1.3317870722433482,-0.009043359934338429,263,0,0
independent_reestimate,940002,300,makespan,263,0.9094174904942967,0.911,0.8882,0.9257399999999999,0.8882,0.9434,1.3893536121672996,0.24780286632646123,63,200,0
independent_reestimate,940003,30,cost,263,0.9495825095057033,0.9514,0.92784,0.96378,0.9152,0.9662,4.95825095057034,1.133571719036105,0,263,0
independent_reestimate,940003,30,emission,263,0.9149087452471483,0.916,0.89052,0.93338,0.8742,0.949,1.7393916349809877,0.011224652229550616,37,224,2
independent_reestimate,940003,30,makespan,263,0.9007216730038023,0.8996,0.87224,0.9284,0.8592,0.9432,1.2683650190114075,-0.06935242348112611,149,106,8
independent_reestimate,940003,100,cost,263,0.9284920152091255,0.9302,0.91122,0.9419599999999999,0.901,0.947,2.849201520912545,0.5237818314510417,0,263,0
independent_reestimate,940003,100,emission,263,0.8680600760456274,0.8678,0.85662,0.8788,0.852,0.8872,3.1939923954372644,-0.020201823830703198,263,0,0
independent_reestimate,940003,100,makespan,263,0.9002365019011407,0.9,0.87894,0.91858,0.8534,0.9278,0.9019771863117871,-0.04456291354962657,130,119,14
independent_reestimate,940003,300,cost,263,0.9313330798479087,0.9322,0.9222400000000001,0.93916,0.915,0.9442,3.1333079847908722,0.5779780464604911,0,263,0
independent_reestimate,940003,300,emission,263,0.9139414448669201,0.914,0.907,0.9202,0.9032,0.9264,1.3941444866920132,0.009967057499991168,0,263,0
