solution_id,decision_fingerprint,role,seed,S,objective,q90_reestimate,q90_oos,signed_error,signed_error_pct,coverage,exceedance,coverage_gap_pp,absolute_coverage_gap_pp
formal-run-01-CCP30-solution-0000,880b6a66d67460e8db98668627808176e3b2929ccf310bb70ef7a09c1174cead,original_training,920001,30,cost,11788562.2349668,11937224.557427725,-148662.3224609252,-1.2453675621643787,0.768,0.23199999999999998,-13.200000000000001,13.200000000000001
formal-run-01-CCP30-solution-0000,880b6a66d67460e8db98668627808176e3b2929ccf310bb70ef7a09c1174cead,original_training,920001,30,emission,9867569080.716173,9871117948.166279,-3548867.450105667,-0.035952031661873995,0.8396,0.1604,-6.040000000000001,6.040000000000001
formal-run-01-CCP30-solution-0000,880b6a66d67460e8db98668627808176e3b2929ccf310bb70ef7a09c1174cead,original_training,920001,30,makespan,574.7645130351591,572.8550476120045,1.9094654231546428,0.3333243603446306,0.9384,0.06159999999999999,3.839999999999999,3.839999999999999
formal-run-01-CCP30-solution-0001,b2613fff54ca503d147adb3771dc151860deac6ba694a5fa2135d6edb22e8093,original_training,920001,30,cost,12157055.011015547,12300554.830207704,-143499.8191921562,-1.1666125729528014,0.8112,0.18879999999999997,-8.879999999999999,8.879999999999999
formal-run-01-CCP30-solution-0001,b2613fff54ca503d147adb3771dc151860deac6ba694a5fa2135d6edb22e8093,original_training,920001,30,emission,9276720817.019875,9279475925.810297,-2755108.7904224396,-0.029690349028863496,0.8522,0.14780000000000004,-4.7800000000000065,4.7800000000000065
formal-run-01-CCP30-solution-0001,b2613fff54ca503d147adb3771dc151860deac6ba694a5fa2135d6edb22e8093,original_training,920001,30,makespan,574.7027832522273,573.0069269542795,1.6958562979477847,0.2959573816955092,0.9172,0.08279999999999998,1.7199999999999993,1.7199999999999993
formal-run-01-CCP30-solution-0002,e34f474f6d450f85db480de42503cd3e80544f8046b8077b869342d14ab6fc4e,original_training,920001,30,cost,11946489.091051433,12056940.434353117,-110451.34330168366,-0.9160810232335667,0.8312,0.16879999999999995,-6.879999999999997,6.879999999999997
formal-run-01-CCP30-solution-0002,e34f474f6d450f85db480de42503cd3e80544f8046b8077b869342d14ab6fc4e,original_training,920001,30,emission,10265703767.76069,10268577987.354298,-2874219.593606949,-0.027990434480280872,0.849,0.15100000000000002,-5.100000000000005,5.100000000000005
formal-run-01-CCP30-solution-0002,e34f474f6d450f85db480de42503cd3e80544f8046b8077b869342d14ab6fc4e,original_training,920001,30,makespan,528.5010677514558,561.4308751718597,-32.929807420403904,-5.865336032743791,0.8182,0.18179999999999996,-8.179999999999998,8.179999999999998
formal-run-01-CCP30-solution-0003,e68e972d1f9e6a59c28a22f616bc989bd7b5f8342a94bfd62864d730625a57b4,original_training,920001,30,cost,11901409.49039475,11994219.833860485,-92810.34346573427,-0.7737922495277639,0.8302,0.16979999999999995,-6.979999999999997,6.979999999999997
