view,metric,method,n,mean,sd,median,minimum,maximum
OOS-MEAN,hypervolume,EV,30,1.0034391954073976,0.13112676008856292,0.9646133506637541,0.8231229914093832,1.3422737413289203
OOS-MEAN,hypervolume,CCP30,30,1.1126343313704519,0.12964840772759834,1.138182113376205,0.848058418811386,1.337493025577699
OOS-MEAN,igd_plus,EV,30,0.17915107602296326,0.04933299409876051,0.1888581441547395,0.07197879996172062,0.26911374373556013
OOS-MEAN,igd_plus,CCP30,30,0.12445607793204863,0.05145079888470118,0.1163056720852234,0.04008644610023145,0.231159049365911
OOS-MEAN,spacing,EV,30,0.012922939883243697,0.006217808254500632,0.010653599549605623,0.004908857900354353,0.03403937218362459
OOS-MEAN,spacing,CCP30,30,0.011383410139033094,0.00427961230728896,0.010051414742180834,0.006596215040522055,0.02725862434517078
OOS-MEAN,nondominated_size,EV,30,110.53333333333333,31.684580534988324,109.0,53,220
OOS-MEAN,nondominated_size,CCP30,30,99.6,30.73647726208647,102.0,42,168
OOS-Q90,hypervolume,EV,30,0.9318443648277008,0.15555301139511238,0.9143833285970207,0.6644364770923163,1.2898490496512363
OOS-Q90,hypervolume,CCP30,30,1.0202022484102369,0.1594312816430513,1.043589195699655,0.7198209533132784,1.293767499894816
OOS-Q90,igd_plus,EV,30,0.19631228511688648,0.07025365023307531,0.18983187460845716,0.07249336232559184,0.3502808324085593
OOS-Q90,igd_plus,CCP30,30,0.1539379212705246,0.058466348068302136,0.15167824082045103,0.06969527149717267,0.2771877966252919
OOS-Q90,spacing,EV,30,0.013727147668269745,0.007041134144333709,0.012266936342877056,0.004253467120875266,0.04251197319376172
OOS-Q90,spacing,CCP30,30,0.012272382927568055,0.005179919011178919,0.011465523054398536,0.005270024985446369,0.030156125708664324
OOS-Q90,nondominated_size,EV,30,114.3,31.679592038473885,111.5,71,193
OOS-Q90,nondominated_size,CCP30,30,106.13333333333334,33.55564943784284,109.0,51,165
