scenario_id,rep_travel_multipliers_5arcs,rep_border_delay_h_sum,rep_final_arrival_h,rep_lateness_h,rep_satisfies_LT,full_solution_total_cost,full_solution_emissions_g,full_solution_makespan_h
0,"[1.072283, 0.97717, 1.090177, 0.935743, 0.885979]",170.411845,372.034712,12.034712,False,8124362.509332,8905678897.28,409.065012
1,"[1.098392, 1.107143, 1.161011, 0.962588, 0.893262]",202.198854,428.352061,68.352061,False,9500318.76118,8905678897.28,428.352061
2,"[0.984449, 1.242738, 0.975401, 1.021293, 1.070252]",238.227403,430.313099,70.313099,False,10004170.397789,8905678897.28,465.893779
3,"[0.716494, 1.01303, 1.105684, 1.035154, 1.338751]",72.39548,208.559555,0.0,True,7741939.794126,8905678897.28,347.492904
4,"[1.088218, 0.994385, 0.864202, 1.060605, 1.117704]",91.684419,263.067215,0.0,True,7750567.76219,8905678897.28,303.326207
5,"[1.252542, 1.02076, 1.142323, 1.072868, 1.16921]",110.625389,263.591201,0.0,True,7749996.925137,8905678897.28,354.393412
6,"[0.87263, 0.931831, 1.093626, 0.978157, 0.934801]",112.10755,260.82966,0.0,True,7750217.601177,8905678897.28,353.475896
7,"[0.928067, 1.073938, 0.877659, 1.22798, 1.004497]",87.131967,263.798107,0.0,True,7746769.168321,8905678897.28,347.241796
8,"[1.115367, 1.039805, 1.070351, 1.142694, 1.053894]",78.91533,263.360482,0.0,True,7753332.591246,8905678897.28,303.621861
9,"[1.119819, 0.954166, 1.16349, 0.964547, 0.896274]",113.357812,316.394741,0.0,True,7970731.930638,8905678897.28,429.052655
10,"[1.164761, 1.088725, 1.000606, 0.981544, 0.928087]",261.974437,428.809658,68.809658,False,9958724.639733,8905678897.28,465.508707
11,"[1.150532, 0.996924, 0.874751, 0.962523, 1.123384]",73.544063,206.161727,0.0,True,7741080.367094,8905678897.28,297.324443
12,"[0.78688, 0.903265, 1.015509, 1.031758, 1.16359]",74.983632,207.14873,0.0,True,7756200.081961,8905678897.28,347.874008
13,"[0.920689, 1.030555, 1.073884, 0.903095, 0.998931]",61.91757,260.60699,0.0,True,7790446.704172,8905678897.28,387.335458
14,"[1.085801, 1.01884, 0.873772, 0.919677, 0.827453]",109.202209,259.418672,0.0,True,7743293.88295,8905678897.28,386.924825
15,"[0.976307, 1.09508, 0.850925, 0.801578, 0.946279]",108.937513,259.209351,0.0,True,8045352.253767,8905678897.28,429.530553
16,"[1.044411, 1.081093, 1.068957, 0.956244, 0.79762]",136.810518,315.538223,0.0,True,7752949.082047,8905678897.28,353.263615
17,"[0.969883, 0.984255, 1.118162, 1.106538, 1.000092]",84.272594,262.586978,0.0,True,7752474.077367,8905678897.28,303.395139
18,"[0.926688, 0.949266, 1.362807, 0.980054, 1.027339]",120.795144,261.576011,0.0,True,7758258.929291,8905678897.28,353.494275
19,"[0.953892, 0.99521, 1.092183, 0.985538, 0.949798]",130.193057,317.019144,0.0,True,7785683.856144,8905678897.28,386.911679
20,"[0.836554, 1.031759, 0.825736, 1.023033, 1.025243]",237.422508,429.975878,69.975878,False,9584732.461092,8905678897.28,429.975878
21,"[0.887771, 1.04423, 1.340633, 0.90037, 1.052389]",256.822905,429.001123,69.001123,False,9984299.830799,8905678897.28,464.722333
22,"[0.979111, 1.025409, 1.157478, 0.99755, 1.027563]",146.741662,317.747263,0.0,True,8596396.283566,8905678897.28,513.287784
23,"[0.981771, 0.986069, 0.733268, 1.087451, 0.826667]",164.543871,317.037796,0.0,True,8054333.897502,8905678897.28,429.64321
24,"[1.076307, 1.099064, 0.848055, 1.025936, 0.952273]",102.316609,261.429963,0.0,True,7747792.392788,8905678897.28,402.230954
25,"[0.947752, 0.93031, 0.919018, 1.097021, 1.051281]",150.44851,318.897467,0.0,True,8047681.168795,8905678897.28,429.45192
26,"[1.26978, 1.274238, 1.12063, 1.128765, 1.251528]",121.194268,320.780263,0.0,True,7747730.196089,8905678897.28,354.934906
27,"[1.18808, 1.073734, 0.693461, 1.063025, 0.949626]",180.979135,373.768448,13.768448,False,7937250.893541,8905678897.28,373.768448
28,"[0.917538, 0.889191, 0.971521, 0.926692, 1.073626]",205.453215,373.423182,13.423182,False,7937988.145741,8905678897.28,402.610002
29,"[1.018552, 1.013593, 1.111134, 0.961459, 1.127345]",134.649472,262.182585,0.0,True,7766172.434467,8905678897.28,387.27681
30,"[1.185056, 1.074764, 0.64799, 1.206464, 0.960352]",161.638189,319.242385,0.0,True,7762013.77539,8905678897.28,355.687616
31,"[0.898798, 0.960957, 1.105465, 1.026714, 1.17372]",217.000045,375.179561,15.179561,False,8185948.02269,8905678897.28,409.946293
32,"[0.884562, 0.857171, 1.125462, 1.013161, 1.183172]",122.441975,319.122618,0.0,True,7801117.257441,8905678897.28,353.815001
33,"[1.200447, 0.897068, 0.871606, 0.913239, 1.215046]",110.645764,318.405366,0.0,True,7829765.381957,8905678897.28,458.819434
34,"[1.096371, 1.050325, 0.832637, 0.986, 1.058928]",98.282707,261.882115,0.0,True,7764004.608861,8905678897.28,346.020682
35,"[1.160731, 0.83527, 0.869575, 1.068744, 1.406252]",118.497774,265.415971,0.0,True,7756765.505367,8905678897.28,354.353457
36,"[1.03658, 0.861096, 0.663841, 0.996512, 0.902213]",156.403572,372.751116,12.751116,False,7978512.380277,8905678897.28,387.220511
37,"[0.952042, 1.049774, 0.94197, 0.944798, 1.357596]",85.557919,263.832491,0.0,True,7785573.023467,8905678897.28,345.383607
38,"[0.80954, 0.973191, 1.021867, 0.966917, 1.109023]",84.200773,262.091324,0.0,True,7753813.295352,8905678897.28,303.511771
39,"[1.009332, 0.928319, 0.824474, 1.120652, 1.207818]",228.646208,432.357822,72.357822,False,9703876.0094,8905678897.28,432.357822
40,"[1.188464, 0.947124, 1.143246, 1.063576, 0.942835]",141.673529,317.720361,0.0,True,8334546.447313,8905678897.28,471.334529
41,"[1.190542, 0.859254, 1.004183, 1.049481, 1.121696]",151.459754,318.99086,0.0,True,8329600.004308,8905678897.28,470.916816
42,"[1.160204, 1.044303, 1.028047, 1.039774, 1.223519]",175.978581,375.697829,15.697829,False,7972861.306397,8905678897.28,375.697829
43,"[1.112158, 0.918118, 0.931378, 0.884278, 0.840866]",97.920125,259.181256,0.0,True,8041736.872516,8905678897.28,429.239567
44,"[1.375328, 0.943256, 1.104853, 1.02244, 0.965134]",113.723898,261.497278,0.0,True,7752222.09796,8905678897.28,353.904888
45,"[0.784593, 1.03006, 1.198874, 1.106896, 0.718544]",87.32882,260.375606,0.0,True,7766621.016797,8905678897.28,458.597202
46,"[1.023598, 0.969889, 0.930612, 0.969473, 0.962976]",157.263814,372.967185,12.967185,False,8160202.873468,8905678897.28,429.073429
47,"[0.859969, 0.927497, 1.107821, 1.09694, 0.8756]",90.624116,261.514659,0.0,True,7797524.939708,8905678897.28,345.271877
48,"[1.246633, 0.815932, 1.10964, 1.050653, 0.957328]",135.710547,317.709184,0.0,True,7803354.032321,8905678897.28,387.326486
49,"[0.910684, 1.032183, 1.052541, 1.080676, 1.529566]",99.205725,266.50163,0.0,True,9131062.294198,8905678897.28,597.209101
