generation,HV_mean,HV_std,IGD_plus_mean,IGD_plus_std,Spacing_mean,Spacing_std,FeasRatio_soft_mean,FeasRatio_soft_std,FeasRatio_strict_mean,FeasRatio_strict_std,MinCost_best,MinEmis_best,MinTime_best,MinCost_mean,MinCost_std,MinEmis_mean,MinEmis_std,MinTime_mean,MinTime_std,boost_triggered_best
0,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1
1,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1
2,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1
3,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1
4,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1
5,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1
6,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1
7,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1
8,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1
9,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1
10,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1
11,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1
12,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1
13,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1
14,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1
15,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1
16,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1
17,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1
18,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1
19,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1
