generation,HV_mean,HV_std,IGD_plus_mean,IGD_plus_std,Spacing_mean,Spacing_std,FeasRatio_soft_mean,FeasRatio_soft_std,FeasRatio_strict_mean,FeasRatio_strict_std,MinCost_best,MinEmis_best,MinTime_best,MinCost_mean,MinCost_std,MinEmis_mean,MinEmis_std,MinTime_mean,MinTime_std,boost_triggered_best
0,0.03561,0.01243,0.9372750031789092,0.07350002126232397,0.1800184806056974,0.11354834195583449,0.47,0.03,0.47,0.03,7874222.882651747,10070255501.369999,360.3762787822044,7827547.82360442,46675.05904732691,10099113145.015,28857643.644999504,353.842062579137,6.534216203067388,0
1,0.03561,0.01243,0.9372750031789092,0.07350002126232397,0.1800184806056974,0.11354834195583449,0.73,0.10999999999999999,0.73,0.10999999999999999,7753892.617907328,9657846885.26,359.4401824698954,7754894.830442933,1002.2125356057659,9852478727.54,194631842.27999973,353.26278936966366,6.177393100231711,0
2,0.03561,0.01243,0.9372750031789092,0.07350002126232397,0.1800184806056974,0.11354834195583449,1.0,0.0,1.0,0.0,7673606.706837867,9657846885.26,359.4401824698954,7666700.914954196,6905.791883671656,9852478727.54,194631842.27999973,353.26278936966366,6.177393100231711,0
3,0.03561,0.01243,0.9372750031789092,0.07350002126232397,0.1800184806056974,0.11354834195583449,1.0,0.0,1.0,0.0,7600362.864035528,9319771571.080002,354.7621103046202,7539210.262418687,61152.601616841275,9657371841.640001,337600270.55999947,350.9237532870261,3.83835701759412,0
4,0.03561,0.01243,0.9372750031789092,0.07350002126232397,0.1800184806056974,0.11354834195583449,1.0,0.0,1.0,0.0,7423442.244325651,9229840841.76,339.25209006986046,7450749.952563748,27307.708238097373,9495964355.755001,266123513.9949999,343.1687431696462,3.916653099785748,0
5,0.16308,0.025219999999999992,0.5580211728310701,0.05755132753733083,0.09395407743352416,0.005587688042049871,1.0,0.0,1.0,0.0,7423442.244325651,9194444000.090002,339.25209006986046,7450749.952563748,27307.708238097373,9037715566.805002,156728433.28499985,343.1687431696462,3.916653099785748,0
6,0.16308,0.025219999999999992,0.5580211728310701,0.05755132753733083,0.09395407743352416,0.005587688042049871,1.0,0.0,1.0,0.0,7351423.528690181,9194444000.090002,339.25209006986046,7276402.661401741,75020.86728843907,9037715566.805002,156728433.28499985,343.1687431696462,3.916653099785748,0
7,0.16308,0.025219999999999992,0.5580211728310701,0.05755132753733083,0.09395407743352416,0.005587688042049871,1.0,0.0,1.0,0.0,7332150.589904955,9171212099.32,339.25209006986046,7266766.192009129,65384.39789582603,9026099616.420002,145112482.89999866,342.6209352007212,3.3688451308607057,0
8,0.16308,0.025219999999999992,0.5580211728310701,0.05755132753733083,0.09395407743352416,0.005587688042049871,1.0,0.0,1.0,0.0,7304320.948146722,8817192258.380001,339.25209006986046,7251998.9492770545,52321.998869667295,8849089695.95,31897437.57000065,342.6209352007212,3.3688451308607057,0
9,0.16308,0.025219999999999992,0.5580211728310701,0.05755132753733083,0.09395407743352416,0.005587688042049871,1.0,0.0,1.0,0.0,7281946.86250742,8817192258.380001,339.25209006986046,7198359.911161074,83586.95134634571,8849089695.95,31897437.57000065,342.6209352007212,3.3688451308607057,0
10,0.354,0.050199999999999995,0.3006254361343318,0.049164662507931584,0.1069610752311637,0.002016940810885187,1.0,0.0,1.0,0.0,7217697.373691374,8817192258.380001,338.3353437208144,7166235.166753052,51462.2069383231,8849089695.95,31897437.57000065,342.16256202619815,3.827218305383724,0
11,0.354,0.050199999999999995,0.3006254361343318,0.049164662507931584,0.1069610752311637,0.002016940810885187,1.0,0.0,1.0,0.0,7214480.234992352,8792443118.99,334.9425781129664,7164626.59740354,49853.63758881204,8832921066.235,40477947.244999886,338.068215212887,3.125637099920624,0
12,0.354,0.050199999999999995,0.3006254361343318,0.049164662507931584,0.1069610752311637,0.002016940810885187,1.0,0.0,1.0,0.0,7192662.377675055,8756585522.01,334.2099833961639,7147384.072971005,45278.30470404914,8814992267.744999,58406745.73499966,337.17717180664465,2.967188410480759,0
13,0.354,0.050199999999999995,0.3006254361343318,0.049164662507931584,0.1069610752311637,0.002016940810885187,1.0,0.0,1.0,0.0,7019244.928987103,8675013022.84,334.2099833961639,7060675.348627029,41430.41963992687,8774206018.16,99192995.3199997,337.17717180664465,2.967188410480759,0
14,0.354,0.050199999999999995,0.3006254361343318,0.049164662507931584,0.1069610752311637,0.002016940810885187,1.0,0.0,1.0,0.0,7008006.4159194995,8622120613.0,334.2099833961639,7006725.5076631615,1280.908256337978,8634160237.51,12039624.510000229,337.17717180664465,2.967188410480759,0
15,0.52636,0.07560000000000003,0.1277094467581672,0.05890502359557756,0.04317045824248776,0.020158203711372252,1.0,0.0,1.0,0.0,6958913.514365664,8324551901.099999,334.2099833961639,6961894.792250402,2981.27788473852,8388933304.314999,64381403.214999676,336.1438471132098,1.933863717045881,0
16,0.52636,0.07560000000000003,0.1277094467581672,0.05890502359557756,0.04317045824248776,0.020158203711372252,1.0,0.0,1.0,0.0,6931081.764166956,8324551901.099999,334.2099833961639,6947931.034674498,16849.270507542416,8388933304.314999,64381403.214999676,336.1438471132098,1.933863717045881,0
17,0.52636,0.07560000000000003,0.1277094467581672,0.05890502359557756,0.04317045824248776,0.020158203711372252,1.0,0.0,1.0,0.0,6902352.935284044,8324551901.099999,334.2099833961639,6929142.077432983,26789.142148938496,8388933304.314999,64381403.214999676,334.21743714386923,0.007453747705284286,0
18,0.52636,0.07560000000000003,0.1277094467581672,0.05890502359557756,0.04317045824248776,0.020158203711372252,1.0,0.0,1.0,0.0,6902352.935284044,8251622953.69,315.80930801849104,6919795.154736074,17442.21945202956,8244821279.414999,6801674.275000095,324.80015381628175,8.990845797790712,0
19,0.52636,0.07560000000000003,0.1277094467581672,0.05890502359557756,0.04317045824248776,0.020158203711372252,1.0,0.0,1.0,0.0,6899613.022296503,8219219881.48,315.80930801849104,6915756.506896022,16143.48459951859,8228619743.309999,9399861.829999924,324.80015381628175,8.990845797790712,0
