generation,HV_mean,HV_std,IGD_plus_mean,IGD_plus_std,Spacing_mean,Spacing_std,FeasRatio_soft_mean,FeasRatio_soft_std,FeasRatio_strict_mean,FeasRatio_strict_std,MinCost_best,MinEmis_best,MinTime_best,MinCost_mean,MinCost_std,MinEmis_mean,MinEmis_std,MinTime_mean,MinTime_std,boost_triggered_best
0,0.000928,0.0015720865116144215,1.1817552718531474,0.09091479976723246,0.08023783563578948,0.02671686429817404,0.44400000000000006,0.02117650689902479,0.44400000000000006,0.02117650689902479,7647167.997140087,9952312077.970003,340.0937714533348,7614594.749580927,71948.25489133115,9796365307.455002,189113130.64456695,340.3480137061689,7.699970900392274,0
1,0.000928,0.0015720865116144215,1.1817552718531474,0.09091479976723246,0.08023783563578948,0.02671686429817404,0.693,0.04282911782109613,0.693,0.04282911782109613,7647167.997140087,9771135080.780003,340.0937714533348,7592145.248495844,82918.3414088125,9700053734.129002,145154834.4969898,340.30776939531063,7.664513976175297,0
2,0.000928,0.0015720865116144215,1.1817552718531474,0.09091479976723246,0.08023783563578948,0.02671686429817404,0.9886666666666667,0.01839081896551163,0.9886666666666667,0.01839081896551163,7647167.997140087,9735211527.739998,340.0937714533348,7526816.872804982,118073.90485962109,9617870753.123999,152907702.89169735,339.5266573546007,7.188481460776564,0
3,0.000928,0.0015720865116144215,1.1817552718531474,0.09091479976723246,0.08023783563578948,0.02671686429817404,1.0,0.0,1.0,0.0,7521082.1391317705,9174549539.44,339.93036664884846,7470960.121752551,91144.02669765701,9489210185.320002,214011281.9652327,338.9209747607512,6.864247722283741,0
4,0.000928,0.0015720865116144215,1.1817552718531474,0.09091479976723246,0.08023783563578948,0.02671686429817404,1.0,0.0,1.0,0.0,7444758.406992202,9174549539.44,335.4294206122003,7398900.474659793,102011.02603768258,9291487157.392,183403217.96032003,336.9090955383696,6.814015675965825,0
5,0.028096000000000003,0.010016513565108371,0.8741895554361049,0.06341247770154763,0.07303958744589528,0.024532408520769235,1.0,0.0,1.0,0.0,7444758.406992202,9139021733.910002,335.4294206122003,7291664.474952996,93356.06896268611,9090990973.286,231925309.92517793,335.46191502775935,5.910021262665909,0
6,0.028096000000000003,0.010016513565108371,0.8741895554361049,0.06341247770154763,0.07303958744589528,0.024532408520769235,1.0,0.0,1.0,0.0,7358430.312185125,9139021733.910002,330.09867790551937,7237760.423216118,94459.91352752406,9017379368.737,165117877.24804443,332.06900216424316,6.5397151525929225,0
7,0.028096000000000003,0.010016513565108371,0.8741895554361049,0.06341247770154763,0.07303958744589528,0.024532408520769235,1.0,0.0,1.0,0.0,7274846.964275494,9098503980.0,330.09867790551937,7168628.859630647,78040.94251058443,8856907048.586998,178676999.7361542,330.19018047941904,4.964469887203894,0
8,0.028096000000000003,0.010016513565108371,0.8741895554361049,0.06341247770154763,0.07303958744589528,0.024532408520769235,1.0,0.0,1.0,0.0,7250310.717797592,8893907855.96,330.09867790551937,7149786.912313824,73325.92168718128,8769128514.793999,169968396.62787026,326.8605181064037,8.81353701900676,0
9,0.028096000000000003,0.010016513565108371,0.8741895554361049,0.06341247770154763,0.07303958744589528,0.024532408520769235,1.0,0.0,1.0,0.0,7188848.769340027,8784477149.509998,330.09867790551937,7105547.97855881,72368.15481275154,8677190456.202,154822984.38338456,326.0444975321485,9.000664889223174,0
