generation,HV_mean,HV_std,IGD_plus_mean,IGD_plus_std,Spacing_mean,Spacing_std,FeasRatio_soft_mean,FeasRatio_soft_std,FeasRatio_strict_mean,FeasRatio_strict_std,MinCost_best,MinEmis_best,MinTime_best,MinCost_mean,MinCost_std,MinEmis_mean,MinEmis_std,MinTime_mean,MinTime_std,boost_triggered_best
0,0.0032559999999999998,0.006808587518714877,1.0087060724085513,0.08726913283922516,0.06194451727633178,0.028398928640296296,0.4043333333333333,0.016468825769380836,0.4043333333333333,0.016468825769380836,7642992.68458686,10416528347.01,423.65996699959874,7664761.033659498,55244.62382931464,10298883228.744999,172573161.4621988,422.0702246689534,4.942005547406151,0
1,0.0032559999999999998,0.006808587518714877,1.0087060724085513,0.08726913283922516,0.06194451727633178,0.028398928640296296,0.5956666666666667,0.03249102440161999,0.5956666666666667,0.03249102440161999,7642992.68458686,10416528347.01,409.3824239303079,7615079.8133939905,125727.46143527805,10289761343.192,174292773.53081673,420.6424703620244,6.183060501095844,0
2,0.0032559999999999998,0.006808587518714877,1.0087060724085513,0.08726913283922516,0.06194451727633178,0.028398928640296296,0.8663333333333334,0.04196427051671458,0.8663333333333334,0.04196427051671458,7550312.18314724,10333030115.164999,409.3824239303079,7583600.9260654645,127697.54529979937,10281411520.0075,169966122.1978015,417.76233688200074,6.139690101619532,0
3,0.0032559999999999998,0.006808587518714877,1.0087060724085513,0.08726913283922516,0.06194451727633178,0.028398928640296296,1.0,0.0,1.0,0.0,7550312.18314724,10333030115.164999,409.3824239303079,7565559.563409808,125569.80749463786,10236506601.142498,113634257.54971907,416.06738570862854,8.107353403035901,0
4,0.0032559999999999998,0.006808587518714877,1.0087060724085513,0.08726913283922516,0.06194451727633178,0.028398928640296296,1.0,0.0,1.0,0.0,7550312.18314724,10309097805.39,397.4150641386673,7554643.847234905,118683.73476632917,10181935106.937,172084494.26420313,414.64556905505697,9.50157431339155,0
5,0.014552,0.0108920749171129,0.8713984370106405,0.09267539128702307,0.07401642910545565,0.04308267504168422,1.0,0.0,1.0,0.0,7550312.18314724,10115972621.545,397.4150641386673,7535282.3113384815,102571.91806834172,10125573808.700499,158788401.5680825,412.1476330044519,8.483583045124554,0
6,0.014552,0.0108920749171129,0.8713984370106405,0.09267539128702307,0.07401642910545565,0.04308267504168422,1.0,0.0,1.0,0.0,7516721.5138970325,10115972621.545,389.57928765691156,7505264.520970261,95315.54571022504,9986575001.7915,184281299.95235246,410.36357338159894,10.52985785139658,0
7,0.014552,0.0108920749171129,0.8713984370106405,0.09267539128702307,0.07401642910545565,0.04308267504168422,1.0,0.0,1.0,0.0,7462198.3931818195,10023176431.63,389.57928765691156,7473344.08064439,88004.89854836675,9921986630.015999,205035783.14609474,408.95381085178406,9.881032142073924,0
8,0.014552,0.0108920749171129,0.8713984370106405,0.09267539128702307,0.07401642910545565,0.04308267504168422,1.0,0.0,1.0,0.0,7462198.3931818195,9854954683.15,389.57928765691156,7439290.222992185,87848.61364002207,9835130545.05,228370593.640889,406.56349111157044,9.330212089128024,0
9,0.014552,0.0108920749171129,0.8713984370106405,0.09267539128702307,0.07401642910545565,0.04308267504168422,1.0,0.0,1.0,0.0,7462198.3931818195,9854954683.15,389.57928765691156,7416610.60583022,83211.9554798042,9808518899.400997,187699942.40160134,406.0150773615457,8.752287085225717,0
10,0.058336,0.022623253170134482,0.6658357702278312,0.0868537256450463,0.06613535889455116,0.026339933024072996,1.0,0.0,1.0,0.0,7462198.3931818195,9842110489.759998,382.5178695258851,7397467.89237282,87611.60358379375,9736697186.314,160319149.06626198,404.8658812606233,9.858585921920133,0
11,0.058336,0.022623253170134482,0.6658357702278312,0.0868537256450463,0.06613535889455116,0.026339933024072996,1.0,0.0,1.0,0.0,7399293.747647112,9655667717.709997,378.0360269147801,7377627.688966947,83149.29531321496,9686400270.940998,161472319.5549897,401.49012332884865,9.901931764987848,0
12,0.058336,0.022623253170134482,0.6658357702278312,0.0868537256450463,0.06613535889455116,0.026339933024072996,1.0,0.0,1.0,0.0,7380665.304709575,9490554662.99,378.0360269147801,7340439.506368963,79541.43754939761,9591165403.789999,211729196.39762628,400.40464609557705,10.149658801456738,0
13,0.058336,0.022623253170134482,0.6658357702278312,0.0868537256450463,0.06613535889455116,0.026339933024072996,1.0,0.0,1.0,0.0,7370819.391761145,9490554662.99,378.0360269147801,7301555.446273436,61338.434876238614,9509612613.390997,189077764.19151634,399.90043082301656,10.044819813284773,0
14,0.058336,0.022623253170134482,0.6658357702278312,0.0868537256450463,0.06613535889455116,0.026339933024072996,1.0,0.0,1.0,0.0,7370819.391761145,9428786294.02,378.0360269147801,7285963.975166115,72034.19230120776,9469792205.008,180478055.28696397,399.0638436422738,9.929569121916817,0
15,0.115832,0.030159833156037184,0.5165712523627513,0.0685094912706573,0.050391319898052934,0.01186877378807896,1.0,0.0,1.0,0.0,7266576.642904578,9428786294.02,378.0360269147801,7257405.443770625,65254.98121541844,9419856654.190998,146339035.1431808,398.3035128021421,9.027944684330114,0
16,0.115832,0.030159833156037184,0.5165712523627513,0.0685094912706573,0.050391319898052934,0.01186877378807896,1.0,0.0,1.0,0.0,7266576.642904578,9428786294.02,376.487516218149,7244158.616384472,65534.11173373885,9360924023.276,123006439.97223257,397.1290535498238,8.510958260344063,0
17,0.115832,0.030159833156037184,0.5165712523627513,0.0685094912706573,0.050391319898052934,0.01186877378807896,1.0,0.0,1.0,0.0,7266576.642904578,9297988560.590002,376.487516218149,7224255.363935083,77226.23378121424,9288764564.464,139176451.1603555,396.97306109417775,8.430671432824072,0
18,0.115832,0.030159833156037184,0.5165712523627513,0.0685094912706573,0.050391319898052934,0.01186877378807896,1.0,0.0,1.0,0.0,7266576.642904578,9297988560.590002,374.01565171184967,7196782.208300081,85326.34496617843,9255291911.926,139797753.3424877,393.03215359166256,9.17817343350651,0
