generation,HV_mean,HV_std,IGD_plus_mean,IGD_plus_std,Spacing_mean,Spacing_std,FeasRatio_soft_mean,FeasRatio_soft_std,FeasRatio_strict_mean,FeasRatio_strict_std,MinCost_best,MinEmis_best,MinTime_best,MinCost_mean,MinCost_std,MinEmis_mean,MinEmis_std,MinTime_mean,MinTime_std,boost_triggered_best
0,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,12133041.591527814,15662096890.503714,467.83142857142855,11868805.329879591,285861.55639540317,15148996347.668455,741546848.888414,465.52745238095224,8.64490169280973,1
1,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,12133041.591527814,15662096890.503714,467.83142857142855,11868805.329879591,285861.55639540317,15148996347.668455,741546848.888414,465.52745238095224,8.64490169280973,1
2,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,12133041.591527814,15662096890.503714,467.83142857142855,11868805.329879591,285861.55639540317,15148996347.668455,741546848.888414,465.52745238095224,8.64490169280973,1
3,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,12133041.591527814,15662096890.503714,467.83142857142855,11868805.329879591,285861.55639540317,15148996347.668455,741546848.888414,465.52745238095224,8.64490169280973,1
4,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,12133041.591527814,15662096890.503714,467.83142857142855,11868805.329879591,285861.55639540317,15148996347.668455,741546848.888414,465.52745238095224,8.64490169280973,1
5,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,12133041.591527814,15662096890.503714,467.83142857142855,11868805.329879591,285861.55639540317,15148996347.668455,741546848.888414,465.52745238095224,8.64490169280973,1
6,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,12133041.591527814,15662096890.503714,467.83142857142855,11868805.329879591,285861.55639540317,15148996347.668455,741546848.888414,465.52745238095224,8.64490169280973,1
7,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,12133041.591527814,15662096890.503714,467.83142857142855,11868805.329879591,285861.55639540317,15148996347.668455,741546848.888414,465.52745238095224,8.64490169280973,1
8,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,12133041.591527814,15662096890.503714,467.83142857142855,11868805.329879591,285861.55639540317,15148996347.668455,741546848.888414,465.52745238095224,8.64490169280973,1
9,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,12133041.591527814,15662096890.503714,467.83142857142855,11868805.329879591,285861.55639540317,15148996347.668455,741546848.888414,465.52745238095224,8.64490169280973,1
