generation,HV_mean,HV_std,IGD_plus_mean,IGD_plus_std,Spacing_mean,Spacing_std,FeasRatio_soft_mean,FeasRatio_soft_std,FeasRatio_strict_mean,FeasRatio_strict_std,MinCost_best,MinEmis_best,MinTime_best,MinCost_mean,MinCost_std,MinEmis_mean,MinEmis_std,MinTime_mean,MinTime_std,boost_triggered_best
0,0.0005866666666666665,0.0021143152293092177,inf,,0.017839525431562493,0.09606878453003131,0.0014666666666666671,0.0033439829877291885,0.0014666666666666671,0.0033439829877291885,6066954.169754938,7188543359.476666,291.6933333333333,6117459.33792251,157330.6977450594,7293660101.163608,368842274.8833594,335.02573015873014,52.947603823066764,1
1,0.0005866666666666665,0.0021143152293092177,inf,,0.017839525431562493,0.09606878453003131,0.013333333333333336,0.018513658621557096,0.013333333333333336,0.018513658621557096,6066954.169754938,7188543359.476666,291.6933333333333,6087009.35092905,150502.68999720027,7233435091.397006,349701381.33597827,327.465126984127,50.02975199167945,1
2,0.0005866666666666665,0.0021143152293092177,inf,,0.017839525431562493,0.09606878453003131,0.05320000000000001,0.04372215304244138,0.05320000000000001,0.04372215304244138,6032775.555317109,7124307990.236668,291.6933333333333,6013195.66779512,145131.93425877998,7062319205.290793,330526343.8899398,312.5237738095238,38.70865553499452,0
3,0.0005866666666666665,0.0021143152293092177,inf,,0.017839525431562493,0.09606878453003131,0.11800000000000005,0.07215353999169641,0.11800000000000005,0.07215353999169641,5921809.779000929,6973586753.614971,291.6933333333333,5979772.706474959,151441.3106817281,6997128933.361942,356644492.76992834,300.0361865079365,14.150176287749197,0
4,0.0005866666666666665,0.0021143152293092177,inf,,0.017839525431562493,0.09606878453003131,0.22426666666666667,0.11763869355880413,0.22426666666666667,0.11763869355880413,5921809.779000929,6962556404.486869,291.6933333333333,5903527.604783973,126962.82820650855,6822097276.840941,301146629.5601522,299.1115753968254,11.256701676590492,0
5,0.044812,0.025745263175970843,0.9225261804323587,0.13595176420771646,0.31602475859956386,0.1692768709747762,0.4118666666666667,0.19904969787021087,0.4118666666666667,0.19904969787021087,5920874.893328464,6934929893.663889,291.6933333333333,5843536.908747826,111420.71950461285,6710550777.965166,275946861.18880624,298.6101984126984,11.248580480163708,0
6,0.044812,0.025745263175970843,0.9225261804323587,0.13595176420771646,0.31602475859956386,0.1692768709747762,0.6953333333333335,0.23479939428276972,0.6953333333333335,0.23479939428276972,5723317.065423341,6447504551.176913,291.6933333333333,5792848.588788668,88423.85744868766,6564458354.039866,217834542.8864814,297.4521785714286,8.711151886803716,0
7,0.044812,0.025745263175970843,0.9225261804323587,0.13595176420771646,0.31602475859956386,0.1692768709747762,0.9261333333333334,0.14307008383617062,0.9261333333333334,0.14307008383617062,5674490.223408,6359776797.156275,291.6933333333333,5770747.306148347,82944.29202440521,6511843440.593879,213516612.85190636,297.1737460317461,8.547422640596931,0
8,0.044812,0.025745263175970843,0.9225261804323587,0.13595176420771646,0.31602475859956386,0.1692768709747762,0.9898666666666666,0.038041848301866486,0.9898666666666666,0.038041848301866486,5674490.223408,6359776797.156275,291.6933333333333,5747309.83208377,64746.64376648193,6469773089.837506,169039974.89341003,296.41661904761906,6.967659047528636,0
9,0.044812,0.025745263175970843,0.9225261804323587,0.13595176420771646,0.31602475859956386,0.1692768709747762,1.0,0.0,1.0,0.0,5674490.223408,6359776797.156275,291.6933333333333,5738715.699807595,63011.88509352764,6448187004.984075,157201337.1659876,295.9923214285715,7.01421264453947,0
