generation,HV_mean,HV_std,IGD_plus_mean,IGD_plus_std,Spacing_mean,Spacing_std,FeasRatio_soft_mean,FeasRatio_soft_std,FeasRatio_strict_mean,FeasRatio_strict_std,MinCost_best,MinEmis_best,MinTime_best,MinCost_mean,MinCost_std,MinEmis_mean,MinEmis_std,MinTime_mean,MinTime_std,boost_triggered_best
0,0.0067,0.0,1.1221593818703202,0.0,0.09155778327583988,0.0,0.4266666666666667,0.0,0.4266666666666667,0.0,7347887.051375923,9310513578.199999,388.04570948446457,7347887.051375923,0.0,9310513578.199999,0.0,388.04570948446457,0.0,0
1,0.0067,0.0,1.1221593818703202,0.0,0.09155778327583988,0.0,0.6833333333333333,0.0,0.6833333333333333,0.0,7347887.051375923,9310513578.199999,378.9371521951156,7347887.051375923,0.0,9310513578.199999,0.0,378.9371521951156,0.0,0
2,0.0067,0.0,1.1221593818703202,0.0,0.09155778327583988,0.0,0.9433333333333334,0.0,0.9433333333333334,0.0,7347887.051375923,9310513578.199999,370.3862247668756,7347887.051375923,0.0,9310513578.199999,0.0,370.3862247668756,0.0,0
3,0.0067,0.0,1.1221593818703202,0.0,0.09155778327583988,0.0,1.0,0.0,1.0,0.0,7272094.35273081,9310513578.199999,366.1501158674161,7272094.35273081,0.0,9310513578.199999,0.0,366.1501158674161,0.0,0
4,0.0067,0.0,1.1221593818703202,0.0,0.09155778327583988,0.0,1.0,0.0,1.0,0.0,7272094.35273081,9157661731.98,355.21003524901926,7272094.35273081,0.0,9157661731.98,0.0,355.21003524901926,0.0,0
5,0.03518,0.0,0.921312629802879,0.0,0.19501115750108425,0.0,1.0,0.0,1.0,0.0,7242597.103531418,8925768006.09,348.59703594268063,7242597.103531418,0.0,8925768006.09,0.0,348.59703594268063,0.0,0
6,0.03518,0.0,0.921312629802879,0.0,0.19501115750108425,0.0,1.0,0.0,1.0,0.0,7242597.103531418,8925768006.09,348.59703594268063,7242597.103531418,0.0,8925768006.09,0.0,348.59703594268063,0.0,0
7,0.03518,0.0,0.921312629802879,0.0,0.19501115750108425,0.0,1.0,0.0,1.0,0.0,7205130.908298312,8873675362.449999,348.59703594268063,7205130.908298312,0.0,8873675362.449999,0.0,348.59703594268063,0.0,0
8,0.03518,0.0,0.921312629802879,0.0,0.19501115750108425,0.0,1.0,0.0,1.0,0.0,7092174.263662457,8733367096.539999,348.59703594268063,7092174.263662457,0.0,8733367096.539999,0.0,348.59703594268063,0.0,0
9,0.03518,0.0,0.921312629802879,0.0,0.19501115750108425,0.0,1.0,0.0,1.0,0.0,6982011.631961281,8564695944.430001,348.50217968531655,6982011.631961281,0.0,8564695944.430001,0.0,348.50217968531655,0.0,0
10,0.12066,0.0,0.6743223350284078,0.0,0.04277509383515489,0.0,1.0,0.0,1.0,0.0,6943393.419042486,8517920121.86,332.2375118088736,6943393.419042486,0.0,8517920121.86,0.0,332.2375118088736,0.0,0
11,0.12066,0.0,0.6743223350284078,0.0,0.04277509383515489,0.0,1.0,0.0,1.0,0.0,6903684.648524787,8337622953.849999,332.2375118088736,6903684.648524787,0.0,8337622953.849999,0.0,332.2375118088736,0.0,0
12,0.12066,0.0,0.6743223350284078,0.0,0.04277509383515489,0.0,1.0,0.0,1.0,0.0,6830779.7267927155,8250845191.72,332.2375118088736,6830779.7267927155,0.0,8250845191.72,0.0,332.2375118088736,0.0,0
13,0.12066,0.0,0.6743223350284078,0.0,0.04277509383515489,0.0,1.0,0.0,1.0,0.0,6830779.7267927155,8246564598.569999,331.7939399976082,6830779.7267927155,0.0,8246564598.569999,0.0,331.7939399976082,0.0,0
14,0.12066,0.0,0.6743223350284078,0.0,0.04277509383515489,0.0,1.0,0.0,1.0,0.0,6826406.082645804,8236097808.27,331.7939399976082,6826406.082645804,0.0,8236097808.27,0.0,331.7939399976082,0.0,0
15,0.23226,0.0,0.49194195618169057,0.0,0.10272702254407108,0.0,1.0,0.0,1.0,0.0,6826406.082645804,8124827665.750001,320.05232514793266,6826406.082645804,0.0,8124827665.750001,0.0,320.05232514793266,0.0,0
16,0.23226,0.0,0.49194195618169057,0.0,0.10272702254407108,0.0,1.0,0.0,1.0,0.0,6724861.9780524485,8030807736.74,315.5016000133377,6724861.9780524485,0.0,8030807736.74,0.0,315.5016000133377,0.0,0
17,0.23226,0.0,0.49194195618169057,0.0,0.10272702254407108,0.0,1.0,0.0,1.0,0.0,6724861.9780524485,8030807736.74,315.5016000133377,6724861.9780524485,0.0,8030807736.74,0.0,315.5016000133377,0.0,0
18,0.23226,0.0,0.49194195618169057,0.0,0.10272702254407108,0.0,1.0,0.0,1.0,0.0,6724861.9780524485,8018762853.1,315.5016000133377,6724861.9780524485,0.0,8018762853.1,0.0,315.5016000133377,0.0,0
19,0.23226,0.0,0.49194195618169057,0.0,0.10272702254407108,0.0,1.0,0.0,1.0,0.0,6724861.9780524485,7851978409.579999,315.5016000133377,6724861.9780524485,0.0,7851978409.579999,0.0,315.5016000133377,0.0,0
20,0.38762,0.0,0.3189729098652191,0.0,0.045841872976807425,0.0,1.0,0.0,1.0,0.0,6596606.445415755,7851713373.099999,315.5016000133377,6596606.445415755,0.0,7851713373.099999,0.0,315.5016000133377,0.0,0
21,0.38762,0.0,0.3189729098652191,0.0,0.045841872976807425,0.0,1.0,0.0,1.0,0.0,6596606.445415755,7851713373.099999,315.5016000133377,6596606.445415755,0.0,7851713373.099999,0.0,315.5016000133377,0.0,0
22,0.38762,0.0,0.3189729098652191,0.0,0.045841872976807425,0.0,1.0,0.0,1.0,0.0,6596606.445415755,7851713373.099999,314.9519543221814,6596606.445415755,0.0,7851713373.099999,0.0,314.9519543221814,0.0,0
23,0.38762,0.0,0.3189729098652191,0.0,0.045841872976807425,0.0,1.0,0.0,1.0,0.0,6596606.445415755,7759091144.539998,314.9519543221814,6596606.445415755,0.0,7759091144.539998,0.0,314.9519543221814,0.0,0
24,0.38762,0.0,0.3189729098652191,0.0,0.045841872976807425,0.0,1.0,0.0,1.0,0.0,6589531.7157332385,7759091144.539998,314.9519543221814,6589531.7157332385,0.0,7759091144.539998,0.0,314.9519543221814,0.0,0
25,0.44968,0.0,0.263512221245373,0.0,0.03901861383710702,0.0,1.0,0.0,1.0,0.0,6589531.7157332385,7759091144.539998,314.9519543221814,6589531.7157332385,0.0,7759091144.539998,0.0,314.9519543221814,0.0,0
26,0.44968,0.0,0.263512221245373,0.0,0.03901861383710702,0.0,1.0,0.0,1.0,0.0,6529421.351204759,7732724541.189999,314.9519543221814,6529421.351204759,0.0,7732724541.189999,0.0,314.9519543221814,0.0,0
27,0.44968,0.0,0.263512221245373,0.0,0.03901861383710702,0.0,1.0,0.0,1.0,0.0,6529421.351204759,7682855998.51,314.9519543221814,6529421.351204759,0.0,7682855998.51,0.0,314.9519543221814,0.0,0
28,0.44968,0.0,0.263512221245373,0.0,0.03901861383710702,0.0,1.0,0.0,1.0,0.0,6529421.351204759,7682855998.51,314.9519543221814,6529421.351204759,0.0,7682855998.51,0.0,314.9519543221814,0.0,0
29,0.44968,0.0,0.263512221245373,0.0,0.03901861383710702,0.0,1.0,0.0,1.0,0.0,6529421.351204759,7631882390.989999,314.9519543221814,6529421.351204759,0.0,7631882390.989999,0.0,314.9519543221814,0.0,0
30,0.5309,0.0,0.19044880178537832,0.0,0.05296775401433022,0.0,1.0,0.0,1.0,0.0,6519198.857479191,7631882390.989999,314.9519543221814,6519198.857479191,0.0,7631882390.989999,0.0,314.9519543221814,0.0,0
