seed,S,min_on_time_prob,bottleneck_batch_id,satisfied_count,violated_count,n_total,wilson_lo95,wilson_hi95,chance_constraint_pass,feasible_hard
42,50,0.0,6,0,50,50,6.938893903907228e-18,0.07134759913335872,False,False
42,100,0.0,6,0,100,100,3.469446951953614e-18,0.03699349820698568,False,False
42,200,0.0,6,0,200,200,1.734723475976807e-18,0.018845326377266575,False,False
43,50,0.0,1,0,50,50,6.938893903907228e-18,0.07134759913335872,False,False
43,100,0.0,6,0,100,100,3.469446951953614e-18,0.03699349820698568,False,False
43,200,0.0,6,0,200,200,1.734723475976807e-18,0.018845326377266575,False,False
44,50,0.0,6,0,50,50,6.938893903907228e-18,0.07134759913335872,False,False
44,100,0.0,6,0,100,100,3.469446951953614e-18,0.03699349820698568,False,False
44,200,0.0,6,0,200,200,1.734723475976807e-18,0.018845326377266575,False,False
45,50,0.0,1,0,50,50,6.938893903907228e-18,0.07134759913335872,False,False
45,100,0.0,6,0,100,100,3.469446951953614e-18,0.03699349820698568,False,False
45,200,0.0,6,0,200,200,1.734723475976807e-18,0.018845326377266575,False,False
46,50,0.0,1,0,50,50,6.938893903907228e-18,0.07134759913335872,False,False
46,100,0.0,1,0,100,100,3.469446951953614e-18,0.03699349820698568,False,False
46,200,0.0,1,0,200,200,1.734723475976807e-18,0.018845326377266575,False,False
